Company,count
Google,391
Amazon,297
HCLTech,266
Microsoft,221
Tata Consultancy Services,215
Walmart Global Tech India,154
Oracle,127
Goldman Sachs,115
Freelance,114
Accenture,110
Self-employed,100
GirlScript Summer of Code,100
Dell Technologies,98
IBM,89
"Indian Institute of Technology, Bombay",87
Uber,86
Flipkart,81
"Indian Institute of Technology, Indore",80
CodSoft,79
Deloitte,76
PW (PhysicsWallah),71
Infosys,70
Qualcomm,68
"Indian Institute of Technology, Delhi",63
Paytm,62
Cognizant,58
"Indian Institute of Technology, Kanpur",56
LinkedIn,56
Samsung R&D Institute India,52
"Indian Institute of Technology, Kharagpur",50
"MINDBEND, NIT Surat",49
Cisco,49
DeepThought Growth Management System,49
Myntra,44
"Indian Institute of Technology, Guwahati",44
Wipro,43
Capgemini,42
"Axios, IIIT Lucknow",41
FLUXUS - IIT Indore,41
NATIONAL CADET CORPS - India,40
PhonePe,40
"Indian Institute of Technology, Madras",40
Prodigy InfoTech,39
"Indian Institute of Technology, Roorkee",38
Adobe,37
InternPe,36
EY,35
Salesforce,35
Genpact,35
Apple,35
SHRI RAMSWAROOP MEMORIAL UNIVERSITY,34
DSC NIT Surat,33
Infosys Springboard,32
Jio Platforms Limited (JPL),32
"E-Cell, IIT Bombay",32
OctaNet Services Pvt Ltd.,31
Dakshana Foundation,31
Liquid Trees,31
National Service Scheme,30
GeeksforGeeks,30
Chegg India,29
Internshala,29
JPMorganChase,29
Chegg Inc.,28
WorldQuant,28
Expedia Group,28
Indian Institute of Science (IISc),28
Sprinklr,28
Optum,28
Deutsche Bank,27
"Indian Institute of Technology (Banaras Hindu University), Varanasi",27
"Indian Institute of Technology, Mandi",27
ZS,27
Training and Placement Cell IIT Indore,27
"Indian Institute of Technology (Indian School of Mines), Dhanbad",27
GDSC,26
Accenture in India,26
"Indian Institute of Technology, Patna",26
"The Programming Club, IIT Indore",26
YouTube,26
American Express,26
Spring Fest,25
Intel Corporation,25
Codess.Cafe,25
Mood Indigo IIT Bombay,25
Reliance Foundation,24
SAP,24
Edunet Foundation,24
"Entrepreneurship Cell, IIT Kharagpur",24
BNY,24
Aakash Educational Services Limited,23
Barclays,23
Amazon Web Services (AWS),23
Nexus - NIT Surat,23
Outlier,23
Oasis Infobyte,23
EXL,22
Zepto,22
HCL Technologies,22
EduGorilla,22
"Technex, IIT (BHU) Varanasi",21
CyberLabs IITISM,21
Avanti Fellows,21
"Indian Institute of Technology, Ropar",21
Larsen & Toubro,21
"Kshitij, IIT Kharagpur",21
Axtria - Ingenious Insights,21
UPES,21
Moglix,21
Zomato,21
PwC India,21
Visa,21
Tech Mahindra,21
Delhivery,21
Wells Fargo,20
"ACM, Association for Computing Machinery",20
"E-Cell, SGSITS Indore",20
ServiceNow,20
IVDC Club,20
ICICI Bank,19
Atlassian,19
Samsung Electronics,19
Confidential,19
E-Cell IIT BHU,19
PayPal,19
"Public Policy and Governance Society, IIT Kharagpur",19
IEEE,19
Bharat Intern,19
LTIMindtree,19
Minor in AI by IIT Ropar,18
Centre for Development of Telematics (C-DOT),18
Sitare University,18
Google Developers Group,18
Navi,18
Morgan Stanley,18
Coforge,18
Self Employed,18
E-Cell | MANIT Bhopal (NIT-B),17
CSRL ,17
UKG,17
MAQ Software,17
ISTE SC MANIT,17
"Techfest, IIT Bombay",17
"Alcheringa, IIT Guwahati",17
CFA Club IIT Indore,17
Intuit,17
Vision MANIT,17
"Cynaptics Club, IIT Indore",17
Bharat Petroleum Corporation Limited,16
JPMorgan Chase & Co.,16
EPAM Systems,16
Cognifyz Technologies,16
Quantiphi,16
"Robotics Club, IIT Indore",16
Samsung R&D Institute India - Bangalore,16
"Techniche, IIT Guwahati",16
Fiverr,16
Piramal Foundation,16
NVIDIA,16
Beans.ai,16
Softpro India Computer Technologies (P) Ltd.,16
CodeAlpha ,16
DigiCoders Technologies Private Limited,16
"Computer Science Society, NIT Silchar",16
Coding Ninjas,16
Media.net,15
Unified Mentor Private Limited,15
Finance & Economics Club - IIT Guwahati,15
NullClass,15
GlobalLogic,15
"GeekHaven, IIIT Allahabad",15
Maulana Azad National Institute of Technology,15
Indian Institute of Information Technology Lucknow,15
DXC Technology,15
Gopali Youth Welfare Society,15
Taskar - India's 1st Healthcare Mall,15
Rubrik,15
HSBC,15
Zeni,15
Siemens,15
eDC (Entrepreneurship Development Cell) IIT Delhi,15
Electronics Club IIT Indore,15
Google Developer Student Club - IIT Indore,14
Unacademy,14
"ECell, NIT Silchar",14
iPlace,14
LetsUpgrade,14
Texas Instruments,14
Dr. A.P.J. Abdul Kalam Technical University,14
Jawahar Navodaya Vidyalaya (JNV),14
Micron Technology,14
Upwork,14
Freelancer,14
Reliance Industries Limited,13
AMD,13
Celebal Technologies,13
HDFC Bank,13
ISRO - Indian Space Research Organization,13
Lamrin Tech Skills University Punjab,13
Google Developer Experts,13
"Cognizance, IIT Roorkee",13
Stealth Startup,13
Ericsson,13
Bank of America,13
Indian Oil Corp Limited,13
Aaroha,13
Techpile Technology Pvt. Ltd.,13
Nagarro,13
Quizzers' Club NIT Bhopal,13
Amdocs,13
"E-Cell, MNNIT Allahabad",13
"Mechanical Engineering Students' Association, IITI",13
"DRDO, Ministry of Defence, Govt. of India",12
"GDG on Campus , SRMCEM",12
"SHRI RAMSWAROOP MEMORIAL COLLEGE OF ENGINEERING AND MANAGEMENT, LUCKNOW",12
J.P. Morgan,12
OYO,12
Publicis Sapient,12
IIT Ropar: Minor in AI,12
